Team,Mean   Salary,Pct. Wins,Batting Avg. ,Earned Run Avg.,Errors
Arizona Diamondbacks,"2,653,029",0.5,0.259,3.93,90
Atlanta Braves,"2,776,998",0.58,0.247,3.42,86
Baltimore Orioles,"2,807,896",0.574,0.247,3.90,106
Boston Red Sox,"5,093,724",0.426,0.260,4.70,101
Chicago Cubs,"3,392,193",0.377,0.240,4.51,105
Chicago White Sox,"3,876,780",0.525,0.255,4.02,70
Cincinnati Reds,"2,935,843",0.599,0.251,3.34,89
Cleveland Indians,"2,704,493",0.42,0.251,4.78,96
Colorado Rockies,"2,692,054",0.395,0.274,5.22,122
Detroit Tigers,"4,562,068",0.543,0.268,3.75,99
Houston Astros,"2,332,730",0.34,0.236,4.56,118
Kansas City Royals,"2,030,540",0.444,0.265,4.30,113
Los Angeles Angels,"5,327,074",0.549,0.274,4.02,98
Los Angeles Dodgers,"3,171,452",0.531,0.252,3.34,98
Miami Marlins,"4,373,259",0.426,0.244,4.09,103
Milwaukee Brewers,"3,755,920",0.512,0.259,4.22,99
Minnesota Twins,"3,484,629",0.407,0.260,4.77,107
New York Mets,"3,457,554",0.457,0.249,4.09,101
New York Yankees,"6,186,321",0.586,0.265,3.85,74
Oakland Athletics,"1,845,750",0.58,0.238,3.48,111
Philadelphia Phillies,"5,817,964",0.5,0.255,3.83,101
Pittsburgh Pirates,"2,187,310",0.488,0.243,3.86,112
San Diego Padres,"1,973,025",0.469,0.247,4.01,121
San Francisco Giants,"3,920,689",0.58,0.269,3.68,115
Seattle Mariners,"2,927,789",0.463,0.234,3.76,72
St. Louis Cardinals,"3,939,316",0.543,0.271,3.71,107
Tampa Bay Rays,"2,291,910",0.556,0.240,3.19,114
Texas Rangers,"4,635,037",0.574,0.273,3.99,85
Toronto Blue Jays,"2,696,042",0.451,0.245,4.64,101
Washington Nationals,"2,623,746",0.605,0.261,3.33,94
