"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,000;-0,290;0,13;;
0,010;-0,290;0,13;-0,03;
0,020;-0,286;0,13;-0,04;-0,19
0,030;-0,285;0,13;-0,04;0,45
0,040;-0,288;0,13;-0,03;0,90
0,050;-0,279;0,13;-0,02;1,15
0,060;-0,292;0,13;-0,01;1,11
0,070;-0,286;0,13;0,01;0,78
0,080;-0,283;0,13;0,01;0,30
0,090;-0,286;0,13;0,01;-0,09
0,100;-0,283;0,13;0,01;-0,24
0,110;-0,290;0,13;0,01;-0,29
0,120;-0,281;0,13;0,00;-0,24
0,130;-0,279;0,13;0,00;-0,15
0,140;-0,288;0,13;0,00;-0,05
0,150;-0,283;0,13;0,00;0,00
0,160;-0,286;0,13;0,00;0,00
0,170;-0,288;0,13;0,00;0,00
0,180;-0,281;0,13;0,00;0,00
0,190;-0,288;0,13;0,00;0,00
0,200;-0,285;0,13;0,00;0,05
0,210;-0,285;0,13;-1,06E-4;0,10
0,220;-0,288;0,13;0,00;0,10
0,230;-0,283;0,13;0,00;0,05
0,240;-0,283;0,13;0,00;-1,03E-5
0,250;-0,286;0,13;0,00;0,00
0,260;-0,285;0,13;0,00;-0,05
0,270;-0,281;0,13;0,00;-0,10
0,280;-0,281;0,13;0,00;-0,10
0,290;-0,285;0,13;0,00;-0,05
0,300;-0,286;0,13;0,00;0,00
0,310;-0,283;0,13;0,00;0,04
0,320;-0,285;0,13;-1,06E-4;0,19
0,330;-0,290;0,13;0,00;0,26
0,340;-0,295;0,13;0,01;-0,20
0,350;-0,295;0,13;0,01;-1,18
0,360;-0,245;0,13;-0,02;-1,62
0,370;-0,247;0,13;-0,04;-0,49
0,380;-0,292;0,13;-0,04;3,65
0,390;-0,249;0,13;-7,67E-5;8,59
0,400;-0,252;0,13;0,16;7,78
