"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,32;-9,822;0,32;-10,520
0,32;-9,819;0,32;-10,534
0,32;-9,840;0,32;-10,568
0,32;-9,858;0,32;-10,593
0,32;-9,874;0,32;-10,586
0,32;-9,896;0,32;-10,563
0,32;-9,933;0,32;-10,545
0,32;-9,958;0,32;-10,561
0,32;-10,003;0,32;-10,579
0,32;-10,033;0,32;-10,575
0,32;-10,074;0,32;-10,538
0,32;-10,085;0,32;-10,495
0,32;-10,073;0,32;-10,459
0,32;-10,037;0,32;-10,457
0,32;-10,008;0,32;-10,484
0,32;-9,971;0,32;-10,520
0,32;-9,956;0,32;-10,525
0,32;-9,960;0,32;-10,516
0,32;-9,989;0,32;-10,520
0,32;-9,994;0,32;-10,525
0,32;-9,981;0,32;-10,523
0,32;-9,958;0,32;-10,500
0,32;-9,921;0,32;-10,489
0,32;-9,869;0,32;-10,475
0,32;-9,822;0,32;-10,480
0,32;-9,820;0,32;-10,479
0,32;-9,822;0,32;-10,446
0,32;-9,813;0,32;-10,409
0,32;-9,774;0,32;-10,375
0,32;-9,756;0,32;-10,355
0,32;-9,736;0,32;-10,323
0,32;-9,697;0,32;-10,303
0,32;-9,656;0,32;-10,284
0,32;-9,538;0,32;-10,253
0,32;-9,611;0,32;-10,235
0,32;-9,618;0,32;-10,223
0,32;-9,567;0,32;-10,184
0,32;-9,482;0,32;-10,019
0,32;-9,407;0,32;-10,005
0,32;-9,366;0,32;-9,924
0,32;-9,348;0,32;-9,862
0,32;-9,307;0,32;-9,942
0,32;-9,205;0,32;-9,872
0,32;-9,103;0,32;-9,928
0,32;-9,059;0,32;-9,899
0,32;-9,000;0,32;-9,828
0,32;-8,932;0,32;-9,658
0,32;-8,896;0,32;-9,508
0,32;-8,851;0,32;-9,384
0,32;-8,805;0,32;-9,277
0,32;-8,812;0,32;-9,218
0,32;-8,769;0,32;-9,178
0,32;-8,762;0,32;-9,039
0,32;-8,724;0,32;-8,907
0,32;-8,671;0,32;-8,751
0,32;-8,560;0,32;-8,649
0,32;-8,495;0,32;-8,565
0,32;-8,472;0,32;-8,436
0,32;-8,447;0,31;-8,304
0,32;-8,411;0,31;-8,254
0,32;-8,372;0,31;-8,209
0,32;-8,338;0,31;-8,172
0,32;-8,291;0,31;-8,113
0,32;-8,225;0,31;-8,037
0,31;-8,161;0,31;-8,039
0,31;-8,089;0,31;-7,977
0,31;-8,059;0,31;-7,905
0,31;-8,039;0,31;-7,873
0,31;-8,054;0,31;-7,859
0,31;-8,057;0,31;-7,823
0,31;-8,018;0,31;-7,789
0,31;-7,971;0,31;-7,728
0,31;-7,977;0,31;-7,717
0,31;-7,941;0,31;-7,656
0,31;-7,848;0,31;-7,648
0,31;-7,801;0,31;-7,603
0,31;-7,800;0,31;-7,553
0,31;-7,803;0,31;-7,524
0,31;-7,798;0,31;-7,508
0,31;-7,775;0,31;-7,517
0,31;-7,733;0,31;-7,488
0,31;-7,724;0,31;-7,390
0,31;-7,694;0,31;-7,367
0,31;-7,651;0,31;-7,345
0,31;-7,603;0,31;-7,277
0,31;-7,631;0,31;-7,222
0,31;-7,597;0,31;-7,227
0,31;-7,542;0,31;-7,249
0,31;-7,521;0,31;-7,238
0,31;-7,504;0,31;-7,204
0,31;-7,481;0,31;-7,118
0,31;-7,453;0,30;-7,050
0,31;-7,437;0,30;-6,988
0,31;-7,379;0,30;-6,952
0,31;-7,338;0,30;-6,907
0,31;-7,301;0,30;-6,914
0,31;-7,259;0,30;-6,859
0,31;-7,293;0,30;-6,850
0,31;-7,345;0,30;-6,841
0,31;-7,310;0,30;-6,825
0,31;-7,245;0,30;-6,800
0,31;-7,190;0,30;-6,786
0,31;-7,124;0,30;-6,759
0,31;-7,097;0,30;-6,701
0,31;-7,073;0,30;-6,651
0,31;-7,086;0,30;-6,635
0,31;-7,084;0,30;-6,608
0,31;-7,038;0,30;-6,596
0,30;-7,002;0,30;-6,578
0,30;-6,954;0,30;-6,580
0,30;-6,934;0,30;-6,585
0,30;-6,939;0,30;-6,576
0,30;-6,914;0,30;-6,519
0,30;-6,853;0,30;-6,442
0,30;-6,839;0,30;-6,408
0,30;-6,825;0,30;-6,394
0,30;-6,807;0,30;-6,403
0,30;-6,802;0,30;-6,401
0,30;-6,755;0,30;-6,405
0,30;-6,737;0,30;-6,408
0,30;-6,716;0,30;-6,390
0,30;-6,667;0,30;-6,406
0,30;-6,700;0,30;-6,406
0,30;-6,669;0,30;-6,362
0,30;-6,628;0,30;-6,321
0,30;-6,569;0,30;-6,303
0,30;-6,569;0,30;-6,274
0,30;-6,535;0,30;-6,244
0,30;-6,503;0,30;-6,206
0,30;-6,471;0,30;-6,201
0,30;-6,467;0,30;-6,188
0,30;-6,435;0,30;-6,161
0,30;-6,396;0,30;-6,174
0,30;-6,356;0,30;-6,154
0,30;-6,347;0,30;-6,136
0,30;-6,329;0,30;-6,111
0,30;-6,283;0,30;-6,059
0,30;-6,270;0,30;-6,018
0,30;-6,228;0,30;-6,000
0,30;-6,213;0,30;-5,984
0,30;-6,202;0,30;-5,999
0,30;-6,149;0,29;-6,008
0,30;-6,095;0,29;-6,065
0,30;-6,097;0,29;-6,022
0,30;-6,083;0,29;-5,947
0,30;-6,045;0,29;-5,900
0,30;-6,018;0,29;-5,861
0,30;-5,977;0,29;-5,814
0,30;-5,954;0,29;-5,775
0,29;-5,949;0,29;-5,784
