"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-11,008
0,32;-10,990
0,32;-11,001
0,32;-10,997
0,32;-10,987
0,32;-10,992
0,32;-10,992
0,32;-10,994
0,32;-10,988
0,32;-10,992
0,32;-10,992
0,32;-10,987
0,32;-10,990
0,32;-10,995
0,32;-10,985
0,32;-10,985
0,32;-10,988
0,32;-10,979
0,32;-10,988
0,32;-10,979
0,32;-10,979
0,32;-10,990
0,32;-10,972
0,32;-10,978
0,32;-10,979
0,32;-10,970
0,32;-10,976
0,32;-10,978
0,32;-10,970
0,32;-10,974
0,32;-10,978
0,32;-10,970
0,32;-10,974
0,32;-10,979
0,32;-10,969
0,32;-10,967
0,32;-10,974
0,32;-10,972
0,32;-10,967
0,32;-10,970
0,32;-10,970
0,32;-10,969
0,32;-10,965
0,32;-10,972
0,32;-10,969
0,32;-10,969
0,32;-10,967
0,32;-10,963
0,32;-10,967
0,32;-10,960
0,32;-10,965
0,32;-10,967
0,32;-10,965
0,32;-10,962
0,32;-10,967
0,32;-10,962
0,32;-10,965
0,32;-10,967
0,32;-10,956
0,32;-10,969
0,32;-10,965
0,32;-10,965
0,32;-10,956
0,32;-10,963
0,32;-10,970
0,32;-10,954
0,32;-10,958
0,32;-10,963
0,32;-10,962
0,32;-10,949
0,32;-10,958
0,32;-10,954
0,32;-10,954
0,32;-10,953
0,32;-10,953
0,32;-10,956
0,32;-10,949
0,32;-10,954
0,32;-10,953
0,32;-10,944
0,32;-10,962
0,32;-10,949
0,32;-10,944
0,32;-10,958
0,32;-10,949
0,32;-10,947
0,32;-10,951
0,32;-10,947
0,32;-10,945
0,32;-10,945
0,32;-10,949
0,32;-10,936
0,32;-10,947
0,32;-10,949
0,32;-10,940
0,32;-10,945
0,32;-10,944
0,32;-10,944
0,32;-10,945
0,32;-10,942
0,32;-10,938
0,32;-10,945
0,32;-10,945
0,32;-10,944
0,32;-10,940
0,32;-10,942
0,32;-10,945
0,32;-10,942
0,32;-10,944
0,32;-10,938
0,32;-10,938
0,32;-10,940
0,32;-10,938
0,32;-10,940
0,32;-10,935
0,32;-10,936
0,32;-10,940
0,32;-10,933
0,32;-10,938
0,32;-10,935
0,32;-10,936
0,32;-10,942
0,32;-10,933
0,32;-10,933
0,32;-10,933
0,32;-10,935
0,32;-10,936
0,32;-10,935
0,32;-10,940
0,32;-10,936
0,32;-10,933
0,32;-10,936
0,32;-10,933
0,32;-10,933
0,32;-10,933
0,32;-10,935
0,32;-10,929
0,32;-10,929
0,32;-10,931
0,32;-10,935
0,32;-10,929
0,32;-10,926
0,32;-10,928
0,32;-10,928
0,32;-10,929
0,32;-10,926
0,32;-10,924
0,32;-10,929
0,32;-10,933
0,32;-10,926
0,32;-10,933
0,32;-10,924
0,32;-10,928
0,32;-10,928
0,32;-10,926
0,32;-10,924
0,32;-10,924
0,32;-10,926
0,32;-10,928
0,32;-10,924
0,32;-10,924
0,32;-10,924
0,32;-10,920
0,32;-10,922
0,32;-10,919
0,32;-10,922
0,32;-10,926
0,32;-10,915
0,32;-10,922
0,32;-10,928
0,32;-10,917
0,32;-10,920
0,32;-10,922
0,32;-10,919
0,32;-10,917
0,32;-10,922
0,32;-10,917
0,32;-10,920
0,32;-10,920
0,32;-10,915
0,32;-10,922
0,32;-10,924
0,32;-10,915
0,32;-10,922
0,32;-10,920
0,32;-10,913
0,32;-10,917
0,32;-10,917
0,32;-10,911
0,32;-10,915
0,32;-10,915
0,32;-10,911
0,32;-10,911
0,32;-10,915
0,32;-10,911
0,32;-10,915
0,32;-10,910
0,32;-10,911
0,32;-10,915
0,32;-10,908
0,32;-10,913
0,32;-10,910
