"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Aceleración (m/s²) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;0,29;;;9,606;0,000;0,29;;;9,668
0,010;0,29;-0,06;;9,334;0,010;0,29;-0,04;;9,693
0,020;0,29;-0,05;0,53;9,218;0,020;0,29;-0,02;1,39;9,718
0,030;0,29;-0,05;0,01;9,237;0,030;0,29;-0,01;0,76;9,661
0,040;0,29;-0,06;0,01;9,434;0,040;0,29;-0,01;0,39;9,616
0,050;0,29;-0,06;0,45;9,729;0,050;0,29;0,00;0,25;9,661
0,060;0,29;-0,05;0,86;9,929;0,060;0,29;0,00;0,16;9,611
0,070;0,29;-0,04;0,88;9,971;0,070;0,29;0,00;0,01;9,634
0,080;0,29;-0,03;0,61;9,811;0,080;0,29;2,41E-4;-0,14;9,627
0,090;0,29;-0,02;0,22;9,582;0,090;0,29;0,00;-0,20;9,633
0,100;0,29;-0,02;-0,08;9,312;0,100;0,29;-0,01;-0,11;9,650
0,110;0,29;-0,03;-0,24;9,087;0,110;0,29;-0,01;0,05;9,670
0,120;0,29;-0,03;-0,25;8,960;0,120;0,29;0,00;0,06;9,684
0,130;0,29;-0,03;-0,08;8,926;0,130;0,29;0,00;-0,08;9,595
0,140;0,29;-0,03;0,26;8,897;0,140;0,29;-0,01;-0,23;9,481
0,150;0,29;-0,03;0,61;8,928;0,150;0,29;-0,01;-0,28;9,498
0,160;0,28;-0,02;0,77;8,874;0,160;0,29;-0,01;-0,33;9,522
0,170;0,28;-0,01;0,69;8,763;0,170;0,29;-0,01;-0,38;9,513
0,180;0,28;0,00;0,45;8,645;0,180;0,29;-0,02;-0,38;9,633
0,190;0,28;0,00;0,16;8,527;0,190;0,29;-0,02;-0,37;9,600
0,200;0,28;2,37E-4;-0,09;8,515;0,200;0,29;-0,03;-0,47;9,438
0,210;0,28;0,00;-0,20;8,452;0,210;0,29;-0,03;-0,63;9,377
0,220;0,28;-0,01;-0,15;8,298;0,220;0,29;-0,04;-0,56;9,375
0,230;0,28;-0,01;-0,05;8,375;0,230;0,29;-0,05;-0,14;9,463
0,240;0,28;-0,01;0,00;8,400;0,240;0,29;-0,04;0,41;9,448
0,250;0,28;-0,01;0,04;8,361;0,250;0,29;-0,04;0,72;9,461
0,260;0,28;-0,01;0,14;8,395;0,260;0,29;-0,03;0,68;9,261
0,270;0,28;0,00;0,20;8,422;0,270;0,29;-0,02;0,49;9,071
0,280;0,28;0,00;0,11;8,415;0,280;0,29;-0,02;0,38;8,939
0,290;0,28;2,37E-4;-0,09;8,406;0,290;0,29;-0,01;0,43;8,799
0,300;0,28;0,00;-0,20;8,313;0,300;0,29;-0,01;0,49;8,726
0,310;0,28;-0,01;-0,15;8,296;0,310;0,29;0,00;0,40;8,663
0,320;0,28;-0,01;-0,09;8,271;0,320;0,29;0,00;0,20;8,642
0,330;0,28;-0,01;-0,18;8,164;0,330;0,29;0,00;0,05;8,656
0,340;0,28;-0,01;-0,38;8,132;0,340;0,29;0,00;0,00;8,543
0,350;0,28;-0,01;-0,45;8,127;0,350;0,29;0,00;-0,04;8,613
0,360;0,28;-0,02;-0,26;8,121;0,360;0,29;2,38E-4;-0,14;8,677
0,370;0,28;-0,02;0,03;8,103;0,370;0,29;0,00;-0,20;8,561
0,380;0,28;-0,02;0,24;8,107;0,380;0,29;-0,01;-0,15;8,450
0,390;0,28;-0,01;0,25;8,112;0,390;0,28;-0,01;-0,05;8,558
0,400;0,28;-0,01;0,15;8,121;0,400;0,28;-0,01;-0,04;8,481
0,410;0,28;-0,01;0,05;8,069;0,410;0,28;-0,01;-0,14;8,364
0,420;0,28;-0,01;0,00;8,001;0,420;0,28;-0,01;-0,23;8,341
0,430;0,28;-0,01;0,04;7,980;0,430;0,28;-0,01;-0,29;8,384
0,440;0,28;-0,01;0,10;7,967;0,440;0,28;-0,01;-0,25;8,411
0,450;0,28;-0,01;0,06;7,948;0,450;0,28;-0,02;-0,11;8,388
0,460;0,28;-0,01;-0,12;7,901;0,460;0,28;-0,02;0,09;8,314
0,470;0,28;-0,01;-0,38;7,864;0,470;0,28;-0,01;0,20;8,225
0,480;0,28;-0,02;-0,44;7,806;0,480;0,28;-0,01;0,07;8,195
0,490;0,28;-0,02;-0,30;7,767;0,490;0,28;-0,01;-0,22;8,161
0,500;0,28;-0,02;-0,14;7,744;0,500;0,28;-0,02;-0,43;8,100
0,510;0,28;-0,02;-0,18;7,683;0,510;0,28;-0,02;-0,44;8,060
0,520;0,28;-0,03;-0,37;7,629;0,520;0,28;-0,03;-0,33;7,971
0,530;0,28;-0,03;-0,48;7,597;0,530;0,28;-0,03;-0,33;7,858
0,540;0,28;-0,04;-0,44;7,570;0,540;0,28;-0,03;-0,42;7,738
0,550;0,28;-0,04;-0,30;7,547;0,550;0,28;-0,04;-0,53;7,681
0,560;0,28;-0,04;-0,11;7,536;0,560;0,28;-0,04;-0,54;7,619
0,570;0,28;-0,04;0,08;7,511;0,570;0,28;-0,05;-0,40;7,604
0,580;0,28;-0,04;0,28;7,538;0,580;0,28;-0,05;-0,17;7,663
0,590;0,28;-0,04;0,38;7,604;0,590;0,28;-0,05;0,16;7,760
0,600;0,28;-0,03;0,39;7,602;0,600;0,28;-0,05;0,55;7,797
0,610;0,28;-0,03;0,34;7,556;0,610;0,28;-0,04;0,86;7,783
0,620;0,28;-0,03;0,29;7,492;0,620;0,28;-0,03;0,88;7,729
0,630;0,28;-0,02;0,25;7,420;0,630;0,28;-0,02;0,60;7,649
0,640;0,28;-0,02;0,15;7,381;0,640;0,28;-0,02;0,26;7,574
0,650;0,28;-0,02;0,09;7,352;0,650;0,28;-0,02;0,01;7,492
0,660;0,28;-0,02;0,14;7,329;0,660;0,28;-0,02;-0,14;7,425
0,670;0,28;-0,02;0,20;7,293;0,670;0,28;-0,02;-0,19;7,331
0,680;0,28;-0,01;0,11;7,264;0,680;0,28;-0,02;-0,15;7,315
0,690;0,28;-0,01;-0,04;7,229;0,690;0,28;-0,02;-0,09;7,315
