"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5"
0,000;0,83;;0,000;0,83;;0,000;0,83;;0,000;0,83;;0,000;0,83;
0,010;0,83;-0,07;0,010;0,83;-0,08;0,010;0,83;-0,05;0,010;0,83;-0,10;0,010;0,83;-0,07
0,020;0,83;2,97;0,020;0,83;2,97;0,020;0,83;2,99;0,020;0,83;2,98;0,020;0,83;2,96
0,030;0,83;-7,22;0,030;0,83;-7,22;0,030;0,83;-7,24;0,030;0,83;-7,23;0,030;0,83;-7,20
0,040;1,01;-20,48;0,040;1,01;-20,48;0,040;1,01;-20,53;0,040;1,01;-20,53;0,040;1,01;-20,43
0,050;0,22;-23,59;0,050;0,22;-23,59;0,050;0,22;-23,65;0,050;0,22;-23,64;0,050;0,22;-23,55
0,060;0,21;-13,49;0,060;0,21;-13,49;0,060;0,21;-13,50;0,060;0,21;-13,50;0,060;0,22;-13,48
0,070;0,21;-0,27;0,070;0,21;-0,27;0,070;0,21;-0,24;0,070;0,21;-0,25;0,070;0,21;-0,29
0,080;0,21;-0,17;0,080;0,21;-0,18;0,080;0,21;-0,16;0,080;0,21;-0,16;0,080;0,21;-0,18
0,090;0,21;-0,10;0,090;0,21;-0,11;0,090;0,21;-0,09;0,090;0,21;-0,10;0,090;0,21;-0,11
0,100;0,21;-0,07;0,100;0,21;-0,07;0,100;0,21;-0,07;0,100;0,21;-0,06;0,100;0,21;-0,09
0,110;0,21;-0,06;0,110;0,21;-0,06;0,110;0,21;-0,05;0,110;0,21;-0,05;0,110;0,21;-0,07
0,120;0,21;-0,03;0,120;0,21;-0,02;0,120;0,20;-0,03;0,120;0,21;-0,03;0,120;0,21;-0,03
0,130;0,21;-0,02;0,130;0,21;-0,01;0,130;0,21;-0,03;0,130;0,21;-0,02;0,130;0,21;-0,02
0,140;0,21;-0,03;0,140;0,21;-0,02;0,140;0,20;-0,04;0,140;0,20;-0,03;0,140;0,21;-0,02
0,150;0,20;-0,04;0,150;0,20;-0,03;0,150;0,20;-0,04;0,150;0,20;-0,04;0,150;0,21;-0,05
0,160;0,20;-0,04;0,160;0,20;-0,04;0,160;0,20;-0,02;0,160;0,20;-0,04;0,160;0,21;-0,04
0,170;0,20;-0,03;0,170;0,20;-0,03;0,170;0,20;-0,01;0,170;0,20;-0,02;0,170;0,20;-0,03
0,180;0,20;-0,01;0,180;0,20;-0,02;0,180;0,20;-0,01;0,180;0,20;0,00;0,180;0,21;-0,02
0,190;0,20;0,00;0,190;0,20;-0,01;0,190;0,20;-0,01;0,190;0,20;0,00;0,190;0,20;-0,01
0,200;0,20;0,00;0,200;0,20;0,00;0,200;0,20;-0,01;0,200;0,20;-0,01;0,200;0,20;-0,01
0,210;0,20;-3,39E-4;0,210;0,20;0,00;0,210;0,20;-0,01;0,210;0,20;0,00;0,210;0,20;0,03
