"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Aceleración (m/s²) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;0,00;;;-0,012;0,000;0,28;;;-7,581
0,010;0,00;0,00;;-0,008;0,010;0,28;-0,04;;-7,551
0,020;0,00;0,00;0,00;-0,008;0,020;0,28;-0,04;0,87;-7,513
0,030;0,00;0,00;0,00;-0,010;0,030;0,28;-0,03;0,72;-7,535
0,040;0,00;0,00;0,00;-0,008;0,040;0,28;-0,02;0,63;-7,547
0,050;0,00;0,00;0,00;-0,008;0,050;0,28;-0,01;0,54;-7,569
0,060;0,00;0,00;0,00;-0,006;0,060;0,28;-0,01;0,40;-7,538
0,070;0,00;0,00;0,00;-0,010;0,070;0,28;-0,01;0,16;-7,511
0,080;0,00;0,00;0,00;-0,012;0,080;0,28;-0,01;-0,08;-7,456
0,090;0,00;0,00;0,00;-0,006;0,090;0,28;-0,01;-0,24;-7,397
0,100;0,00;0,00;0,00;-0,012;0,100;0,28;-0,01;-0,25;-7,340
0,110;0,00;0,00;0,00;-0,008;0,110;0,28;-0,01;-0,11;-7,315
0,120;0,00;0,00;0,00;-0,006;0,120;0,28;-0,01;0,05;-7,284
0,130;0,00;0,00;0,00;-0,010;0,130;0,28;-0,01;0,06;-7,300
0,140;0,00;0,00;0,00;-0,008;0,140;0,28;-0,01;-0,13;-7,316
0,150;0,00;0,00;0,00;-0,005;0,150;0,28;-0,01;-0,33;-7,307
0,160;0,00;0,00;0,00;-0,008;0,160;0,28;-0,02;-0,34;-7,275
0,170;0,00;0,00;0,00;-0,006;0,170;0,28;-0,02;-0,24;-7,254
0,180;0,00;0,00;0,00;-0,010;0,180;0,28;-0,02;-0,23;-7,205
0,190;0,00;0,00;0,00;-0,008;0,190;0,28;-0,03;-0,37;-7,134
0,200;0,00;0,00;0,00;-0,010;0,200;0,28;-0,03;-0,49;-7,071
0,210;0,00;0,00;0,00;-0,008;0,210;0,28;-0,04;-0,39;-7,036
0,220;0,00;0,00;0,00;-0,008;0,220;0,28;-0,04;-0,25;-6,994
0,230;0,00;0,00;0,00;-0,012;0,230;0,28;-0,04;-0,15;-7,025
0,240;0,00;0,00;0,00;-0,012;0,240;0,28;-0,04;-0,10;-7,021
0,250;0,00;0,00;0,00;-0,008;0,250;0,27;-0,04;-0,06;-7,009
0,260;0,00;0,00;0,00;-0,005;0,260;0,27;-0,04;0,04;-6,994
0,270;0,00;0,00;0,00;-0,012;0,270;0,27;-0,04;0,14;-6,978
0,280;0,00;0,00;0,00;-0,006;0,280;0,27;-0,04;0,24;-6,950
0,290;0,00;0,00;0,00;-0,012;0,290;0,27;-0,04;0,25;-6,944
0,300;0,00;0,00;0,00;-0,006;0,300;0,27;-0,03;0,15;-6,883
0,310;0,00;0,00;0,00;-0,010;0,310;0,27;-0,03;0,09;-6,851
0,320;0,00;0,00;0,00;-0,008;0,320;0,27;-0,03;0,18;-6,735
0,330;0,00;0,00;0,00;-0,005;0,330;0,27;-0,03;0,37;-6,680
0,340;0,00;0,00;0,00;-0,010;0,340;0,27;-0,03;0,48;-6,706
0,350;0,00;0,00;0,00;-0,010;0,350;0,27;-0,02;0,44;-6,765
0,360;0,00;0,00;0,00;-0,005;0,360;0,27;-0,02;0,34;-6,733
0,370;0,00;0,00;0,00;-0,010;0,370;0,27;-0,01;0,29;-6,733
0,380;0,00;0,00;0,00;-0,008;0,380;0,27;-0,01;0,29;-6,737
0,390;0,00;0,00;0,00;-0,010;0,390;0,27;-0,01;0,29;-6,694
0,400;0,00;0,00;0,00;-0,006;0,400;0,27;-0,01;0,29;-6,663
0,410;0,00;0,00;0,00;-0,006;0,410;0,27;0,00;0,25;-6,542
0,420;0,00;0,00;0,00;-0,006;0,420;0,27;0,00;0,15;-6,569
0,430;0,00;0,00;0,00;-0,006;0,430;0,27;0,00;0,05;-6,558
0,440;0,00;0,00;0,00;-0,008;0,440;0,27;0,00;0,00;-6,513
0,450;0,00;0,00;0,00;-0,010;0,450;0,27;0,00;0,00;-6,536
0,460;0,00;0,00;0,00;-0,003;0,460;0,27;0,00;0,00;-6,511
0,470;0,00;0,00;0,00;-0,005;0,470;0,27;0,00;0,00;-6,533
0,480;0,00;0,00;0,00;-0,008;0,480;0,27;0,00;-0,04;-6,495
0,490;0,00;0,00;0,00;-0,010;0,490;0,27;2,25E-4;-0,18;-6,519
