"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-9,745
0,32;-9,765
0,32;-9,733
0,32;-9,672
0,32;-9,715
0,32;-9,747
0,32;-9,776
0,32;-9,813
0,32;-9,799
0,32;-9,772
0,32;-9,754
0,32;-9,733
0,32;-9,710
0,32;-9,694
0,32;-9,674
0,32;-9,676
0,32;-9,697
0,32;-9,724
0,32;-9,754
0,32;-9,744
0,32;-9,736
0,32;-9,738
0,32;-9,724
0,32;-9,717
0,32;-9,679
0,32;-9,649
0,32;-9,633
0,32;-9,601
0,32;-9,588
0,32;-9,575
0,32;-9,579
0,32;-9,579
0,32;-9,583
0,32;-9,608
0,32;-9,658
0,32;-9,690
0,32;-9,690
0,32;-9,681
0,32;-9,708
0,32;-9,756
0,32;-9,797
0,32;-9,835
0,32;-9,876
0,32;-9,883
0,32;-9,887
0,32;-9,865
0,32;-9,844
0,32;-9,819
0,32;-9,774
0,32;-9,733
0,32;-9,710
0,32;-9,715
0,32;-9,726
0,32;-9,715
0,32;-9,668
0,32;-9,620
0,32;-9,570
0,32;-9,541
0,32;-9,556
0,32;-9,525
0,32;-9,538
0,32;-9,552
0,32;-9,543
0,32;-9,518
0,32;-9,461
0,32;-9,465
0,32;-9,468
0,32;-9,470
0,32;-9,499
0,32;-9,538
0,32;-9,620
0,32;-9,753
0,32;-9,812
0,32;-9,844
0,32;-9,874
0,32;-9,854
0,32;-9,835
0,32;-9,797
0,32;-9,747
0,32;-9,677
0,32;-9,595
0,32;-9,550
0,32;-9,502
0,32;-9,441
0,32;-9,438
0,32;-9,457
0,32;-9,440
0,32;-9,434
0,32;-9,443
0,32;-9,445
0,32;-9,445
0,32;-9,445
0,32;-9,447
0,32;-9,438
0,32;-9,427
0,32;-9,422
0,32;-9,422
0,32;-9,418
0,32;-9,427
0,32;-9,438
0,32;-9,431
0,32;-9,415
0,32;-9,420
0,32;-9,436
0,32;-9,447
0,32;-9,452
0,32;-9,466
0,32;-9,484
0,32;-9,499
0,32;-9,554
0,32;-9,634
0,32;-9,711
0,32;-9,747
0,32;-9,731
0,32;-9,704
0,32;-9,643
0,32;-9,574
0,32;-9,524
0,32;-9,474
0,32;-9,429
0,32;-9,452
0,32;-9,441
0,32;-9,434
0,32;-9,431
0,32;-9,422
0,32;-9,425
0,32;-9,422
0,32;-9,409
0,32;-9,397
0,32;-9,386
0,32;-9,339
0,32;-9,440
0,32;-9,479
0,32;-9,431
0,32;-9,413
0,32;-9,440
0,32;-9,432
0,32;-9,425
0,32;-9,441
0,32;-9,447
0,32;-9,463
0,32;-9,474
0,32;-9,484
0,32;-9,488
0,32;-9,493
0,32;-9,506
0,32;-9,536
0,32;-9,563
0,32;-9,572
0,32;-9,558
0,32;-9,547
0,32;-9,533
0,32;-9,500
0,32;-9,474
0,32;-9,457
0,32;-9,443
0,32;-9,415
0,32;-9,391
0,32;-9,388
0,32;-9,406
0,32;-9,427
0,32;-9,416
0,32;-9,400
0,32;-9,398
0,32;-9,404
0,32;-9,398
0,32;-9,404
0,32;-9,404
0,32;-9,398
0,32;-9,406
0,32;-9,404
0,32;-9,404
0,32;-9,398
0,32;-9,391
0,32;-9,393
0,32;-9,397
0,32;-9,402
0,32;-9,411
0,32;-9,409
0,32;-9,407
0,32;-9,404
0,32;-9,409
0,32;-9,402
0,32;-9,397
0,32;-9,389
0,32;-9,386
0,32;-9,379
0,32;-9,372
0,32;-9,368
0,32;-9,368
0,32;-9,372
0,32;-9,373
0,32;-9,373
0,32;-9,372
0,32;-9,366
0,32;-9,368
0,32;-9,359
0,32;-9,343
0,32;-9,355
0,32;-9,434
0,32;-9,427
0,32;-9,429
0,32;-9,431
0,32;-9,429
0,32;-9,423
0,32;-9,423
0,32;-9,422
0,32;-9,420
0,32;-9,420
0,32;-9,427
0,32;-9,434
0,32;-9,441
0,32;-9,448
0,32;-9,443
0,32;-9,440
0,32;-9,423
0,32;-9,416
0,32;-9,409
0,32;-9,402
0,32;-9,400
0,32;-9,411
0,32;-9,406
0,32;-9,402
0,32;-9,407
0,32;-9,415
0,32;-9,423
0,32;-9,413
0,32;-9,386
0,32;-9,334
0,32;-9,366
0,32;-9,448
0,32;-9,445
0,32;-9,434
0,32;-9,423
0,32;-9,398
0,32;-9,381
0,32;-9,431
0,32;-9,445
0,32;-9,454
0,32;-9,450
0,32;-9,448
0,32;-9,438
0,32;-9,431
0,32;-9,431
0,32;-9,434
0,32;-9,429
0,32;-9,420
0,32;-9,415
0,32;-9,411
0,32;-9,420
0,32;-9,436
0,32;-9,502
0,32;-9,599
0,32;-9,656
0,32;-9,677
0,32;-9,699
0,32;-9,688
0,32;-9,679
0,32;-9,658
0,32;-9,599
0,32;-9,527
0,32;-9,491
0,32;-9,497
0,32;-9,502
0,32;-9,491
0,32;-9,475
0,32;-9,452
0,32;-9,411
0,32;-9,393
0,32;-9,395
0,32;-9,373
0,32;-9,375
0,32;-9,397
0,32;-9,397
0,32;-9,364
0,32;-9,348
0,32;-9,389
0,32;-9,389
0,32;-9,345
0,32;-9,314
0,32;-9,339
0,32;-9,336
0,32;-9,330
0,32;-9,343
0,32;-9,354
0,32;-9,355
0,32;-9,375
0,32;-9,382
0,32;-9,395
0,32;-9,411
0,32;-9,429
0,32;-9,438
0,32;-9,440
0,32;-9,441
0,32;-9,448
0,32;-9,447
0,32;-9,441
0,32;-9,429
0,32;-9,415
0,32;-9,397
0,32;-9,386
0,32;-9,370
0,32;-9,366
0,32;-9,361
0,32;-9,350
0,32;-9,327
0,32;-9,304
0,32;-9,309
0,32;-9,313
0,32;-9,313
0,32;-9,313
0,32;-9,302
0,32;-9,304
0,32;-9,295
0,32;-9,289
0,32;-9,289
0,32;-9,295
0,32;-9,296
0,32;-9,295
0,32;-9,293
0,32;-9,291
0,32;-9,282
0,32;-9,282
0,32;-9,273
0,32;-9,275
0,32;-9,288
0,32;-9,296
0,32;-9,305
0,32;-9,311
0,32;-9,318
0,32;-9,325
0,32;-9,336
0,32;-9,343
0,32;-9,354
0,32;-9,359
0,32;-9,359
0,32;-9,348
0,32;-9,336
0,32;-9,323
0,32;-9,305
0,32;-9,295
0,32;-9,279
0,32;-9,270
0,32;-9,264
0,32;-9,268
0,32;-9,264
0,32;-9,266
0,32;-9,264
0,32;-9,270
0,32;-9,275
0,32;-9,284
0,32;-9,282
0,32;-9,288
0,32;-9,284
0,32;-9,282
0,32;-9,270
0,32;-9,266
0,32;-9,277
0,32;-9,291
0,32;-9,323
0,32;-9,361
0,32;-9,415
0,32;-9,461
0,32;-9,488
