"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-9,677
0,32;-9,661
0,32;-9,665
0,32;-9,668
0,32;-9,667
0,32;-9,668
0,32;-9,663
0,32;-9,668
0,32;-9,665
0,32;-9,665
0,32;-9,668
0,32;-9,668
0,32;-9,665
0,32;-9,665
0,32;-9,660
0,32;-9,667
0,32;-9,663
0,32;-9,661
0,32;-9,660
0,32;-9,663
0,32;-9,658
0,32;-9,663
0,32;-9,652
0,32;-9,663
0,32;-9,654
0,32;-9,661
0,32;-9,665
0,32;-9,661
0,32;-9,660
0,32;-9,661
0,32;-9,660
0,32;-9,654
0,32;-9,654
0,32;-9,656
0,32;-9,652
0,32;-9,656
0,32;-9,652
0,32;-9,658
0,32;-9,654
0,32;-9,660
0,32;-9,654
0,32;-9,651
0,32;-9,656
0,32;-9,647
0,32;-9,651
0,32;-9,652
0,32;-9,652
0,32;-9,649
0,32;-9,649
0,32;-9,647
0,32;-9,645
0,32;-9,647
0,32;-9,647
0,32;-9,651
0,32;-9,651
0,32;-9,642
0,32;-9,645
0,32;-9,643
0,32;-9,643
0,32;-9,651
0,32;-9,640
0,32;-9,642
0,32;-9,642
0,32;-9,642
0,32;-9,638
0,32;-9,640
0,32;-9,638
0,32;-9,638
0,32;-9,640
0,32;-9,638
0,32;-9,643
0,32;-9,642
0,32;-9,642
0,32;-9,645
0,32;-9,643
0,32;-9,640
0,32;-9,638
0,32;-9,640
0,32;-9,640
0,32;-9,634
0,32;-9,636
0,32;-9,640
0,32;-9,634
0,32;-9,640
0,32;-9,631
0,32;-9,638
0,32;-9,640
0,32;-9,634
0,32;-9,636
0,32;-9,638
0,32;-9,636
0,32;-9,638
0,32;-9,634
0,32;-9,640
0,32;-9,640
0,32;-9,633
0,32;-9,633
0,32;-9,634
0,32;-9,636
0,32;-9,634
0,32;-9,640
0,32;-9,638
0,32;-9,631
0,32;-9,634
0,32;-9,633
0,32;-9,634
0,32;-9,636
0,32;-9,634
0,32;-9,629
0,32;-9,634
0,32;-9,626
0,32;-9,636
0,32;-9,631
0,32;-9,631
0,32;-9,634
0,32;-9,631
0,32;-9,636
0,32;-9,636
0,32;-9,631
0,32;-9,634
0,32;-9,631
0,32;-9,634
0,32;-9,631
0,32;-9,631
0,32;-9,627
0,32;-9,631
0,32;-9,622
0,32;-9,626
0,32;-9,629
0,32;-9,627
0,32;-9,629
0,32;-9,626
0,32;-9,627
0,32;-9,627
0,32;-9,629
0,32;-9,627
0,32;-9,627
0,32;-9,627
0,32;-9,629
0,32;-9,624
0,32;-9,627
0,32;-9,627
0,32;-9,629
0,32;-9,631
0,32;-9,624
0,32;-9,627
0,32;-9,627
0,32;-9,629
0,32;-9,627
0,32;-9,626
0,32;-9,626
0,32;-9,627
0,32;-9,622
0,32;-9,631
0,32;-9,624
0,32;-9,627
0,32;-9,627
0,32;-9,627
0,32;-9,626
0,32;-9,627
0,32;-9,622
0,32;-9,627
0,32;-9,620
0,32;-9,624
0,32;-9,624
0,32;-9,620
0,32;-9,620
0,32;-9,624
0,32;-9,622
0,32;-9,626
0,32;-9,624
0,32;-9,622
0,32;-9,627
0,32;-9,624
0,32;-9,620
0,32;-9,629
0,32;-9,618
0,32;-9,626
0,32;-9,620
0,32;-9,626
0,32;-9,622
0,32;-9,622
0,32;-9,620
0,32;-9,624
0,32;-9,617
0,32;-9,626
0,32;-9,620
0,32;-9,620
0,32;-9,622
0,32;-9,617
0,32;-9,618
0,32;-9,620
0,32;-9,615
0,32;-9,624
0,32;-9,613
0,32;-9,617
0,32;-9,622
0,32;-9,615
0,32;-9,618
0,32;-9,622
0,32;-9,615
0,32;-9,624
0,32;-9,615
0,32;-9,618
0,32;-9,620
0,32;-9,624
0,32;-9,620
0,32;-9,624
0,32;-9,618
0,32;-9,617
0,32;-9,622
0,32;-9,624
0,32;-9,620
0,32;-9,618
0,32;-9,622
0,32;-9,617
0,32;-9,618
0,32;-9,624
0,32;-9,613
0,32;-9,627
0,32;-9,618
0,32;-9,624
0,32;-9,620
0,32;-9,622
0,32;-9,620
0,32;-9,624
0,32;-9,617
0,32;-9,620
0,32;-9,620
0,32;-9,622
0,32;-9,620
0,32;-9,618
0,32;-9,618
0,32;-9,624
0,32;-9,615
0,32;-9,624
0,32;-9,618
0,32;-9,617
0,32;-9,624
0,32;-9,620
0,32;-9,615
0,32;-9,618
0,32;-9,615
0,32;-9,615
0,32;-9,622
0,32;-9,617
0,32;-9,615
0,32;-9,624
0,32;-9,617
0,32;-9,618
0,32;-9,624
0,32;-9,615
0,32;-9,617
0,32;-9,618
0,32;-9,617
0,32;-9,622
0,32;-9,617
0,32;-9,622
0,32;-9,622
0,32;-9,618
0,32;-9,622
0,32;-9,618
0,32;-9,620
0,32;-9,620
0,32;-9,617
0,32;-9,618
0,32;-9,617
0,32;-9,617
0,32;-9,617
0,32;-9,622
0,32;-9,617
0,32;-9,624
0,32;-9,622
0,32;-9,615
0,32;-9,618
0,32;-9,615
0,32;-9,615
0,32;-9,626
0,32;-9,618
0,32;-9,622
0,32;-9,622
0,32;-9,618
0,32;-9,620
0,32;-9,618
0,32;-9,613
0,32;-9,615
0,32;-9,613
0,32;-9,620
0,32;-9,617
0,32;-9,618
0,32;-9,622
0,32;-9,615
0,32;-9,617
0,32;-9,615
0,32;-9,620
0,32;-9,620
0,32;-9,617
0,32;-9,615
0,32;-9,620
0,32;-9,617
0,32;-9,618
0,32;-9,617
0,32;-9,620
0,32;-9,618
0,32;-9,615
0,32;-9,618
0,32;-9,615
0,32;-9,624
0,32;-9,620
0,32;-9,620
0,32;-9,618
0,32;-9,613
0,32;-9,618
0,32;-9,617
0,32;-9,618
0,32;-9,618
0,32;-9,611
0,32;-9,618
0,32;-9,617
0,32;-9,617
0,32;-9,620
0,32;-9,617
0,32;-9,615
0,32;-9,615
0,32;-9,613
0,32;-9,618
0,32;-9,617
0,32;-9,611
0,32;-9,611
0,32;-9,613
0,32;-9,613
0,32;-9,609
0,32;-9,611
0,32;-9,613
0,32;-9,617
0,32;-9,617
0,32;-9,611
0,32;-9,618
0,32;-9,615
0,32;-9,617
0,32;-9,617
0,32;-9,611
0,32;-9,615
0,32;-9,613
0,32;-9,613
0,32;-9,611
0,32;-9,609
0,32;-9,617
0,32;-9,613
0,32;-9,613
0,32;-9,611
0,32;-9,611
0,32;-9,615
0,32;-9,613
0,32;-9,615
0,32;-9,611
0,32;-9,617
0,32;-9,613
0,32;-9,611
0,32;-9,615
0,32;-9,611
0,32;-9,613
0,32;-9,609
0,32;-9,615
0,32;-9,613
0,32;-9,611
0,32;-9,611
0,32;-9,611
0,32;-9,613
0,32;-9,615
0,32;-9,611
0,32;-9,608
0,32;-9,613
0,32;-9,609
0,32;-9,613
0,32;-9,615
0,32;-9,609
0,32;-9,617
0,32;-9,613
0,32;-9,611
0,32;-9,611
0,32;-9,613
0,32;-9,611
0,32;-9,613
0,32;-9,615
0,32;-9,613
0,32;-9,611
0,32;-9,615
0,32;-9,613
0,32;-9,611
0,32;-9,613
0,32;-9,611
0,32;-9,609
0,32;-9,608
0,32;-9,611
