"Tiempo (s) Serie Nº 1";"Ángulo (rad) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1"
0,000;0,000;0,0000;
0,050;0,000;0,0000;0,000
0,100;0,000;0,0000;0,000
0,150;0,000;0,0000;0,000
0,200;0,000;0,0000;0,000
0,250;0,000;0,0000;0,000
0,300;0,000;0,0000;0,000
0,350;0,000;0,0000;0,003
0,400;0,000;0,0000;0,012
0,450;0,033;7,8750E-4;0,023
0,500;0,113;0,0027;0,029
0,550;0,173;0,0041;0,029
0,600;0,226;0,0054;0,024
0,650;0,283;0,0067;0,018
0,700;0,306;0,0073;0,010
0,750;0,322;0,0077;8,750E-4
0,800;0,313;0,0075;-0,008
0,850;0,287;0,0069;-0,017
0,900;0,242;0,0058;-0,024
0,950;0,181;0,0043;-0,030
1,000;0,113;0,0027;-0,029
1,050;0,039;9,3750E-4;-0,018
1,100;0,024;5,6250E-4;-0,003
1,150;0,047;0,0011;0,007
1,200;0,068;0,0016;0,008
1,250;0,082;0,0020;0,007
1,300;0,094;0,0023;0,005
1,350;0,102;0,0024;0,002
1,400;0,104;0,0025;-8,750E-4
1,450;0,097;0,0023;-0,004
1,500;0,088;0,0021;-0,006
1,550;0,074;0,0018;-0,008
1,600;0,055;0,0013;-0,009
1,650;0,033;7,8750E-4;-0,007
1,700;0,016;3,7500E-4;-0,002
1,750;0,024;5,6250E-4;0,002
1,800;0,035;8,2500E-4;0,004
1,850;0,042;0,0010;0,004
1,900;0,050;0,0012;
