"Tiempo (s) Serie Nº 1";"Ángulo (rad) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Ángulo (rad) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Ángulo (rad) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Ángulo (rad) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Ángulo (rad) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Ángulo (rad) Serie Nº 6";"Posición (m) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6"
0,000;0,000;0,0000;;0,000;0,000;0,0000;;0,000;0,000;0,0000;;0,000;0,000;0,0000;;0,000;0,000;0,0000;;0,000;0,000;0,0000;
0,050;0,000;0,0000;0,000;0,050;0,000;0,0000;0,000;0,050;0,000;0,0000;0,000;0,050;0,000;0,0000;0,000;0,050;0,000;0,0000;0,000;0,050;0,000;0,0000;0,000
0,100;0,000;0,0000;0,000;0,100;0,000;0,0000;0,000;0,100;0,000;0,0000;0,000;0,100;0,000;0,0000;0,000;0,100;0,000;0,0000;0,000;0,100;0,000;0,0000;0,005
0,150;0,000;0,0000;0,000;0,150;0,000;0,0000;0,000;0,150;0,000;0,0000;0,000;0,150;0,000;0,0000;0,000;0,150;0,000;0,0000;0,000;0,150;-0,008;-1,8750E-4;0,017
0,200;0,000;0,0000;0,000;0,200;0,000;0,0000;0,000;0,200;0,000;0,0000;0,000;0,200;0,000;0,0000;0,000;0,200;0,000;0,0000;0,000;0,200;0,074;0,0018;0,027
0,250;0,000;0,0000;0,000;0,250;0,000;0,0000;0,000;0,250;0,000;0,0000;1,250E-4;0,250;0,000;0,0000;0,000;0,250;0,000;0,0000;0,000;0,250;0,135;0,0032;0,029
0,300;0,000;0,0000;0,002;0,300;0,000;0,0000;0,000;0,300;0,000;0,0000;0,006;0,300;0,000;0,0000;0,000;0,300;0,000;0,0000;-3,750E-4;0,300;0,195;0,0046;0,023
0,350;0,000;0,0000;0,011;0,350;0,000;0,0000;0,005;0,350;0,002;3,7500E-5;0,016;0,350;0,000;0,0000;0,000;0,350;0,000;0,0000;0,007;0,350;0,234;0,0056;0,016
0,400;0,027;6,3750E-4;0,024;0,400;0,000;0,0000;0,014;0,400;0,068;0,0016;0,026;0,400;0,000;0,0000;0,000;0,400;-0,005;-1,1250E-4;0,019;0,400;0,262;0,0063;0,008
0,450;0,116;0,0028;0,033;0,450;0,066;0,0016;0,023;0,450;0,130;0,0031;0,030;0,450;0,000;0,0000;0,000;0,450;0,093;0,0022;0,028;0,450;0,272;0,0065;1,250E-4
0,500;0,190;0,0045;0,033;0,500;0,112;0,0027;0,027;0,500;0,203;0,0048;0,027;0,500;0,000;0,0000;0,000;0,500;0,140;0,0033;0,028;0,500;0,262;0,0063;-0,009
0,550;0,254;0,0061;0,026;0,550;0,178;0,0042;0,026;0,550;0,250;0,0060;0,020;0,550;0,000;0,0000;0,000;0,550;0,204;0,0049;0,021;0,550;0,236;0,0056;-0,017
0,600;0,303;0,0072;0,019;0,600;0,229;0,0055;0,022;0,600;0,286;0,0068;0,012;0,600;0,000;0,0000;0,003;0,600;0,234;0,0056;0,015;0,600;0,185;0,0044;-0,023
0,650;0,336;0,0080;0,010;0,650;0,269;0,0064;0,014;0,650;0,305;0,0073;0,005;0,650;0,000;0,0000;0,012;0,650;0,262;0,0063;0,009;0,650;0,130;0,0031;-0,027
0,700;0,349;0,0083;6,250E-4;0,700;0,291;0,0069;0,006;0,700;0,305;0,0073;-0,004;0,700;0,042;0,0010;0,021;0,700;0,276;0,0066;0,002;0,700;0,074;0,0018;-0,025
0,750;0,339;0,0081;-0,009;0,750;0,295;0,0070;-0,003;0,750;0,289;0,0069;-0,012;0,750;0,105;0,0025;0,027;0,750;0,270;0,0064;-0,007;0,750;0,003;7,5000E-5;-0,017
