"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Fuerza (N) Serie Nº 3"
0,000;-0,665;0,000;-0,513
0,002;-0,668;0,002;-0,507
0,004;-0,672;0,004;-0,511
0,006;-0,665;0,006;-0,516
0,008;-0,666;0,008;-0,516
0,010;-0,666;0,010;-0,514
0,012;-0,666;0,012;-0,511
0,014;-0,659;0,014;-0,514
0,016;-0,668;0,016;-0,514
0,018;-0,663;0,018;-0,507
0,020;-0,668;0,020;-0,514
0,022;-0,666;0,022;-0,516
0,024;-0,661;0,024;-0,521
0,026;-0,661;0,026;-0,520
0,028;-0,659;0,028;-0,511
0,030;-0,663;0,030;-0,514
0,032;-0,665;0,032;-0,520
0,034;-0,663;0,034;-0,511
0,036;-0,668;0,036;-0,509
0,038;-0,668;0,038;-0,507
0,040;-0,666;0,040;-0,502
0,042;-0,666;0,042;-0,504
0,044;-0,663;0,044;-0,496
0,046;-0,666;0,046;-0,504
0,048;-0,670;0,048;-0,509
0,050;-0,666;0,050;-0,511
0,052;-0,668;0,052;-0,505
0,054;-0,668;0,054;-0,513
0,056;-0,670;0,056;-0,514
0,058;-0,663;0,058;-0,511
0,060;-0,663;0,060;-0,505
0,062;-0,665;0,062;-0,513
0,064;-0,666;0,064;-0,509
0,066;-0,663;0,066;-0,514
0,068;-0,668;0,068;-0,514
0,070;-0,665;0,070;-0,521
0,072;-0,666;0,072;-0,513
0,074;-0,674;0,074;-0,514
0,076;-0,666;0,076;-0,509
0,078;-0,663;0,078;-0,513
0,080;-0,666;0,080;-0,513
0,082;-0,668;0,082;-0,514
0,084;-0,661;0,084;-0,509
0,086;-0,663;0,086;-0,513
0,088;-0,666;0,088;-0,513
0,090;-0,663;0,090;-0,518
0,092;-0,665;0,092;-0,514
0,094;-0,661;0,094;-0,509
0,096;-0,663;0,096;-0,513
0,098;-0,659;0,098;-0,514
0,100;-0,663;0,100;-0,513
0,102;-0,661;0,102;-0,514
0,104;-0,665;0,104;-0,513
0,106;-0,668;0,106;-0,514
0,108;-0,666;0,108;-0,509
0,110;-0,670;0,110;-0,514
0,112;-0,663;0,112;-0,511
0,114;-0,668;0,114;-0,514
0,116;-0,663;0,116;-0,514
0,118;-0,663;0,118;-0,518
0,120;-0,665;0,120;-0,509
0,122;-0,666;0,122;-0,509
0,124;-0,663;0,124;-0,509
0,126;-0,661;0,126;-0,516
0,128;-0,661;0,128;-0,513
0,130;-0,656;0,130;-0,513
0,132;-0,663;0,132;-0,502
0,134;-0,663;0,134;-0,505
0,136;-0,663;0,136;-0,505
0,138;-0,666;0,138;-0,513
0,140;-0,661;0,140;-0,507
0,142;-0,666;0,142;-0,511
0,144;-0,663;0,144;-0,507
0,146;-0,668;0,146;-0,509
0,148;-0,666;0,148;-0,511
0,150;-0,670;0,150;-0,507
0,152;-0,670;0,152;-0,511
0,154;-0,666;0,154;-0,509
0,156;-0,668;0,156;-0,511
0,158;-0,668;0,158;-0,511
0,160;-0,666;0,160;-0,509
0,162;-0,665;0,162;-0,509
0,164;-0,666;0,164;-0,504
0,166;-0,665;0,166;-0,505
0,168;-0,663;0,168;-0,511
0,170;-0,657;0,170;-0,514
0,172;-0,657;0,172;-0,509
0,174;-0,659;0,174;-0,511
0,176;-0,663;0,176;-0,511
0,178;-0,661;0,178;-0,507
0,180;-0,663;0,180;-0,505
0,182;-0,666;0,182;-0,500
0,184;-0,670;0,184;-0,505
0,186;-0,659;0,186;-0,507
0,188;-0,666;0,188;-0,500
0,190;-0,665;0,190;-0,513
0,192;-0,665;0,192;-0,509
0,194;-0,666;0,194;-0,509
0,196;-0,668;0,196;-0,516
0,198;-0,668;0,198;-0,518
0,200;-0,665;0,200;-0,511
0,202;-0,665;0,202;-0,518
0,204;-0,666;0,204;-0,516
0,206;-0,654;0,206;-0,516
0,208;-0,666;0,208;-0,514
0,210;-0,656;0,210;-0,513
0,212;-0,661;0,212;-0,514
0,214;-0,659;0,214;-0,523
0,216;-0,665;0,216;-0,521
0,218;-0,665;0,218;-0,511
0,220;-0,670;0,220;-0,523
0,222;-0,665;0,222;-0,523
0,224;-0,661;0,224;-0,520
0,226;-0,666;0,226;-0,520
0,228;-0,661;0,228;-0,521
