"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;-0,647;0,000;-0,543
0,002;-0,645;0,002;-0,534
0,004;-0,648;0,004;-0,530
0,006;-0,647;0,006;-0,529
0,008;-0,643;0,008;-0,530
0,010;-0,641;0,010;-0,523
0,012;-0,645;0,012;-0,532
0,014;-0,648;0,014;-0,529
0,016;-0,647;0,016;-0,541
0,018;-0,645;0,018;-0,536
0,020;-0,645;0,020;-0,532
0,022;-0,647;0,022;-0,527
0,024;-0,654;0,024;-0,538
0,026;-0,648;0,026;-0,539
0,028;-0,650;0,028;-0,538
0,030;-0,654;0,030;-0,541
0,032;-0,654;0,032;-0,541
0,034;-0,650;0,034;-0,545
0,036;-0,654;0,036;-0,548
0,038;-0,648;0,038;-0,541
0,040;-0,643;0,040;-0,539
0,042;-0,647;0,042;-0,530
0,044;-0,647;0,044;-0,534
0,046;-0,652;0,046;-0,532
0,048;-0,652;0,048;-0,539
0,050;-0,648;0,050;-0,541
0,052;-0,652;0,052;-0,541
0,054;-0,650;0,054;-0,532
0,056;-0,650;0,056;-0,541
0,058;-0,654;0,058;-0,538
0,060;-0,656;0,060;-0,538
0,062;-0,652;0,062;-0,539
0,064;-0,652;0,064;-0,545
0,066;-0,650;0,066;-0,550
0,068;-0,648;0,068;-0,550
0,070;-0,647;0,070;-0,557
0,072;-0,647;0,072;-0,552
0,074;-0,652;0,074;-0,548
0,076;-0,647;0,076;-0,536
0,078;-0,641;0,078;-0,536
0,080;-0,650;0,080;-0,534
0,082;-0,652;0,082;-0,534
0,084;-0,650;0,084;-0,536
0,086;-0,650;0,086;-0,539
0,088;-0,654;0,088;-0,543
0,090;-0,661;0,090;-0,547
0,092;-0,656;0,092;-0,543
0,094;-0,654;0,094;-0,539
0,096;-0,657;0,096;-0,547
0,098;-0,648;0,098;-0,547
0,100;-0,650;0,100;-0,547
0,102;-0,647;0,102;-0,555
0,104;-0,656;0,104;-0,550
0,106;-0,650;0,106;-0,555
0,108;-0,650;0,108;-0,550
0,110;-0,652;0,110;-0,547
0,112;-0,643;0,112;-0,545
0,114;-0,650;0,114;-0,536
0,116;-0,650;0,116;-0,536
0,118;-0,650;0,118;-0,530
0,120;-0,654;0,120;-0,534
0,122;-0,654;0,122;-0,538
0,124;-0,647;0,124;-0,532
0,126;-0,652;0,126;-0,536
0,128;-0,652;0,128;-0,532
0,130;-0,650;0,130;-0,532
0,132;-0,647;0,132;-0,532
0,134;-0,654;0,134;-0,529
0,136;-0,647;0,136;-0,536
0,138;-0,648;0,138;-0,539
0,140;-0,647;0,140;-0,545
0,142;-0,645;0,142;-0,538
0,144;-0,648;0,144;-0,541
0,146;-0,647;0,146;-0,538
0,148;-0,647;0,148;-0,527
0,150;-0,645;0,150;-0,525
0,152;-0,647;0,152;-0,523
0,154;-0,648;0,154;-0,527
0,156;-0,647;0,156;-0,532
0,158;-0,647;0,158;-0,534
0,160;-0,652;0,160;-0,547
0,162;-0,648;0,162;-0,545
0,164;-0,647;0,164;-0,548
0,166;-0,645;0,166;-0,543
0,168;-0,654;0,168;-0,534
0,170;-0,654;0,170;-0,534
0,172;-0,648;0,172;-0,543
0,174;-0,647;0,174;-0,541
0,176;-0,654;0,176;-0,545
0,178;-0,654;0,178;-0,545
0,180;-0,650;0,180;-0,550
0,182;-0,648;0,182;-0,543
0,184;-0,645;0,184;-0,545
0,186;-0,648;0,186;-0,521
0,188;-0,645;0,188;-0,527
0,190;-0,647;0,190;-0,527
0,192;-0,641;0,192;-0,527
0,194;-0,643;0,194;-0,534
0,196;-0,645;0,196;-0,545
0,198;-0,648;0,198;-0,547
0,200;-0,650;0,200;-0,548
0,202;-0,648;0,202;-0,548
0,204;-0,652;0,204;-0,538
0,206;-0,656;0,206;-0,534
0,208;-0,652;0,208;-0,532
0,210;-0,652;0,210;-0,539
0,212;-0,645;0,212;-0,547
0,214;-0,652;0,214;-0,547
0,216;-0,645;0,216;-0,548
0,218;-0,652;0,218;-0,543
0,220;-0,648;0,220;-0,543
0,222;-0,648;0,222;-0,545
0,224;-0,652;0,224;-0,538
0,226;-0,650;0,226;-0,545
0,228;-0,656;0,228;-0,543
0,230;-0,654;0,230;-0,541
