"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;-0,654;0,000;-0,532
0,002;-0,656;0,002;-0,532
0,004;-0,665;0,004;-0,525
0,006;-0,663;0,006;-0,527
0,008;-0,670;0,008;-0,525
0,010;-0,672;0,010;-0,523
0,012;-0,670;0,012;-0,529
0,014;-0,666;0,014;-0,521
0,016;-0,665;0,016;-0,521
0,018;-0,666;0,018;-0,529
0,020;-0,661;0,020;-0,516
0,022;-0,668;0,022;-0,518
0,024;-0,661;0,024;-0,523
0,026;-0,654;0,026;-0,523
0,028;-0,659;0,028;-0,521
0,030;-0,650;0,030;-0,518
0,032;-0,652;0,032;-0,520
0,034;-0,652;0,034;-0,511
0,036;-0,652;0,036;-0,516
0,038;-0,657;0,038;-0,513
0,040;-0,657;0,040;-0,511
0,042;-0,665;0,042;-0,509
0,044;-0,670;0,044;-0,514
0,046;-0,665;0,046;-0,513
0,048;-0,663;0,048;-0,516
0,050;-0,656;0,050;-0,514
0,052;-0,654;0,052;-0,514
0,054;-0,656;0,054;-0,520
0,056;-0,648;0,056;-0,520
0,058;-0,650;0,058;-0,514
0,060;-0,654;0,060;-0,521
0,062;-0,650;0,062;-0,523
0,064;-0,652;0,064;-0,518
0,066;-0,654;0,066;-0,518
0,068;-0,650;0,068;-0,518
0,070;-0,650;0,070;-0,518
0,072;-0,652;0,072;-0,514
0,074;-0,657;0,074;-0,520
0,076;-0,657;0,076;-0,511
0,078;-0,661;0,078;-0,513
0,080;-0,657;0,080;-0,523
0,082;-0,663;0,082;-0,518
0,084;-0,665;0,084;-0,525
0,086;-0,661;0,086;-0,521
0,088;-0,657;0,088;-0,516
0,090;-0,665;0,090;-0,520
0,092;-0,659;0,092;-0,520
0,094;-0,659;0,094;-0,518
0,096;-0,657;0,096;-0,529
0,098;-0,654;0,098;-0,518
0,100;-0,654;0,100;-0,521
0,102;-0,654;0,102;-0,525
0,104;-0,652;0,104;-0,521
0,106;-0,648;0,106;-0,523
0,108;-0,654;0,108;-0,523
0,110;-0,654;0,110;-0,532
0,112;-0,663;0,112;-0,532
0,114;-0,657;0,114;-0,532
0,116;-0,665;0,116;-0,521
0,118;-0,659;0,118;-0,525
0,120;-0,665;0,120;-0,525
0,122;-0,657;0,122;-0,527
0,124;-0,659;0,124;-0,523
0,126;-0,652;0,126;-0,527
0,128;-0,657;0,128;-0,527
0,130;-0,659;0,130;-0,530
0,132;-0,659;0,132;-0,530
0,134;-0,657;0,134;-0,525
0,136;-0,659;0,136;-0,529
0,138;-0,657;0,138;-0,527
0,140;-0,659;0,140;-0,525
0,142;-0,665;0,142;-0,521
0,144;-0,657;0,144;-0,525
0,146;-0,659;0,146;-0,527
0,148;-0,657;0,148;-0,525
0,150;-0,665;0,150;-0,525
0,152;-0,668;0,152;-0,527
0,154;-0,668;0,154;-0,529
0,156;-0,657;0,156;-0,521
0,158;-0,663;0,158;-0,520
0,160;-0,665;0,160;-0,518
0,162;-0,657;0,162;-0,520
0,164;-0,659;0,164;-0,523
0,166;-0,659;0,166;-0,521
0,168;-0,661;0,168;-0,513
0,170;-0,656;0,170;-0,516
0,172;-0,657;0,172;-0,518
0,174;-0,657;0,174;-0,518
0,176;-0,654;0,176;-0,518
0,178;-0,663;0,178;-0,520
0,180;-0,657;0,180;-0,520
0,182;-0,652;0,182;-0,518
0,184;-0,652;0,184;-0,514
0,186;-0,654;0,186;-0,514
0,188;-0,657;0,188;-0,514
0,190;-0,656;0,190;-0,518
0,192;-0,657;0,192;-0,514
0,194;-0,656;0,194;-0,520
0,196;-0,654;0,196;-0,520
0,198;-0,661;0,198;-0,525
0,200;-0,661;0,200;-0,523
0,202;-0,654;0,202;-0,521
0,204;-0,657;0,204;-0,523
0,206;-0,665;0,206;-0,514
0,208;-0,661;0,208;-0,518
0,210;-0,659;0,210;-0,529
0,212;-0,656;0,212;-0,527
0,214;-0,661;0,214;-0,521
0,216;-0,661;0,216;-0,527
0,218;-0,657;0,218;-0,521
0,220;-0,659;0,220;-0,520
0,222;-0,661;0,222;-0,518
0,224;-0,657;0,224;-0,525
0,226;-0,657;0,226;-0,516
0,228;-0,659;0,228;-0,523
0,230;-0,656;0,230;-0,520
0,232;-0,659;0,232;-0,525
0,234;-0,657;0,234;-0,516
0,236;-0,656;0,236;-0,520
0,238;-0,659;0,238;-0,527
0,240;-0,661;0,240;-0,523
0,242;-0,661;0,242;-0,527
0,244;-0,656;0,244;-0,521
0,246;-0,654;0,246;-0,523
0,248;-0,659;0,248;-0,529
0,250;-0,656;0,250;-0,525
0,252;-0,654;0,252;-0,525
0,254;-0,656;0,254;-0,521
0,256;-0,659;0,256;-0,523
0,258;-0,659;0,258;-0,527
0,260;-0,661;0,260;-0,525
0,262;-0,656;0,262;-0,520
0,264;-0,661;0,264;-0,518
0,266;-0,659;0,266;-0,523
0,268;-0,656;0,268;-0,525
0,270;-0,659;0,270;-0,516
0,272;-0,659;0,272;-0,520
0,274;-0,663;0,274;-0,520
0,276;-0,661;0,276;-0,523
0,278;-0,659;0,278;-0,525
0,280;-0,659;0,280;-0,521
0,282;-0,659;0,282;-0,529
0,284;-0,661;0,284;-0,527
0,286;-0,657;0,286;-0,521
0,288;-0,654;0,288;-0,514
0,290;-0,657;0,290;-0,529
0,292;-0,652;0,292;-0,525
0,294;-0,654;0,294;-0,521
0,296;-0,659;0,296;-0,520
0,298;-0,657;0,298;-0,511
0,300;-0,659;0,300;-0,518
0,302;-0,657;0,302;-0,516
