"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;-0,675;0,000;-0,584
0,002;-0,682;0,002;-0,577
0,004;-0,682;0,004;-0,577
0,006;-0,679;0,006;-0,577
0,008;-0,674;0,008;-0,581
0,010;-0,663;0,010;-0,572
0,012;-0,643;0,012;-0,572
0,014;-0,634;0,014;-0,582
0,016;-0,618;0,016;-0,579
0,018;-0,609;0,018;-0,579
0,020;-0,598;0,020;-0,577
0,022;-0,598;0,022;-0,579
0,024;-0,607;0,024;-0,577
0,026;-0,616;0,026;-0,577
0,028;-0,638;0,028;-0,581
0,030;-0,650;0,030;-0,575
0,032;-0,654;0,032;-0,579
0,034;-0,661;0,034;-0,581
0,036;-0,670;0,036;-0,581
0,038;-0,663;0,038;-0,584
0,040;-0,654;0,040;-0,579
0,042;-0,641;0,042;-0,577
0,044;-0,636;0,044;-0,572
0,046;-0,623;0,046;-0,572
0,048;-0,614;0,048;-0,573
0,050;-0,611;0,050;-0,579
0,052;-0,611;0,052;-0,579
0,054;-0,604;0,054;-0,582
0,056;-0,604;0,056;-0,575
0,058;-0,611;0,058;-0,586
0,060;-0,616;0,060;-0,584
0,062;-0,623;0,062;-0,586
0,064;-0,634;0,064;-0,579
0,066;-0,650;0,066;-0,581
0,068;-0,665;0,068;-0,573
0,070;-0,672;0,070;-0,582
0,072;-0,665;0,072;-0,582
0,074;-0,674;0,074;-0,589
0,076;-0,659;0,076;-0,582
0,078;-0,657;0,078;-0,579
0,080;-0,643;0,080;-0,579
0,082;-0,647;0,082;-0,572
0,084;-0,641;0,084;-0,579
0,086;-0,636;0,086;-0,572
0,088;-0,627;0,088;-0,575
0,090;-0,622;0,090;-0,570
0,092;-0,622;0,092;-0,572
0,094;-0,622;0,094;-0,573
0,096;-0,623;0,096;-0,575
0,098;-0,632;0,098;-0,573
0,100;-0,640;0,100;-0,570
0,102;-0,643;0,102;-0,573
0,104;-0,647;0,104;-0,575
0,106;-0,654;0,106;-0,577
0,108;-0,657;0,108;-0,573
0,110;-0,654;0,110;-0,570
0,112;-0,654;0,112;-0,577
0,114;-0,650;0,114;-0,568
0,116;-0,638;0,116;-0,568
0,118;-0,640;0,118;-0,564
0,120;-0,631;0,120;-0,570
0,122;-0,632;0,122;-0,575
0,124;-0,625;0,124;-0,573
0,126;-0,625;0,126;-0,575
0,128;-0,616;0,128;-0,584
0,130;-0,613;0,130;-0,584
0,132;-0,623;0,132;-0,586
0,134;-0,632;0,134;-0,595
0,136;-0,629;0,136;-0,591
0,138;-0,647;0,138;-0,588
0,140;-0,659;0,140;-0,589
0,142;-0,657;0,142;-0,581
0,144;-0,665;0,144;-0,589
0,146;-0,668;0,146;-0,581
0,148;-0,657;0,148;-0,579
0,150;-0,654;0,150;-0,575
0,152;-0,643;0,152;-0,577
0,154;-0,647;0,154;-0,566
0,156;-0,631;0,156;-0,573
0,158;-0,620;0,158;-0,575
0,160;-0,623;0,160;-0,573
0,162;-0,622;0,162;-0,577
0,164;-0,618;0,164;-0,581
0,166;-0,620;0,166;-0,588
0,168;-0,620;0,168;-0,586
0,170;-0,627;0,170;-0,582
0,172;-0,632;0,172;-0,581
0,174;-0,636;0,174;-0,581
0,176;-0,643;0,176;-0,584
0,178;-0,648;0,178;-0,581
0,180;-0,652;0,180;-0,581
0,182;-0,657;0,182;-0,575
0,184;-0,650;0,184;-0,577
0,186;-0,643;0,186;-0,577
0,188;-0,634;0,188;-0,573
0,190;-0,622;0,190;-0,575
0,192;-0,618;0,192;-0,579
0,194;-0,614;0,194;-0,579
0,196;-0,620;0,196;-0,579
0,198;-0,627;0,198;-0,586
0,200;-0,631;0,200;-0,577
0,202;-0,632;0,202;-0,582
0,204;-0,640;0,204;-0,581
0,206;-0,645;0,206;-0,584
0,208;-0,648;0,208;-0,584
0,210;-0,650;0,210;-0,579
0,212;-0,663;0,212;-0,579
0,214;-0,666;0,214;-0,577
0,216;-0,668;0,216;-0,575
0,218;-0,668;0,218;-0,572
0,220;-0,652;0,220;-0,573
0,222;-0,638;0,222;-0,568
0,224;-0,636;0,224;-0,568
0,226;-0,625;0,226;-0,577
0,228;-0,625;0,228;-0,573
0,230;-0,627;0,230;-0,572
0,232;-0,625;0,232;-0,568
0,234;-0,629;0,234;-0,572
0,236;-0,634;0,236;-0,573
0,238;-0,641;0,238;-0,573
0,240;-0,648;0,240;-0,566
0,242;-0,643;0,242;-0,575
0,244;-0,654;0,244;-0,573
0,246;-0,656;0,246;-0,577
0,248;-0,650;0,248;-0,568
0,250;-0,652;0,250;-0,570
0,252;-0,647;0,252;-0,572
0,254;-0,643;0,254;-0,577
0,256;-0,641;0,256;-0,575
0,258;-0,636;0,258;-0,577
0,260;-0,629;0,260;-0,577
0,262;-0,620;0,262;-0,577
0,264;-0,616;0,264;-0,577
0,266;-0,618;0,266;-0,568
0,268;-0,631;0,268;-0,572
0,270;-0,632;0,270;-0,581
0,272;-0,638;0,272;-0,586
0,274;-0,645;0,274;-0,579
0,276;-0,645;0,276;-0,575
0,278;-0,645;0,278;-0,579
0,280;-0,643;0,280;-0,577
0,282;-0,641;0,282;-0,582
0,284;-0,648;0,284;-0,588
0,286;-0,650;0,286;-0,584
0,288;-0,656;0,288;-0,582
0,290;-0,647;0,290;-0,586
0,292;-0,640;0,292;-0,586
0,294;-0,638;0,294;-0,575
0,296;-0,632;0,296;-0,584
0,298;-0,622;0,298;-0,572
0,300;-0,631;0,300;-0,579
0,302;-0,625;0,302;-0,572
0,304;-0,625;0,304;-0,564
0,306;-0,634;0,306;-0,579
0,308;-0,634;0,308;-0,577
0,310;-0,641;0,310;-0,579
0,312;-0,645;0,312;-0,584
0,314;-0,648;0,314;-0,577
0,316;-0,648;0,316;-0,581
0,318;-0,645;0,318;-0,575
0,320;-0,648;0,320;-0,581
0,322;-0,645;0,322;-0,577
0,324;-0,650;0,324;-0,577
0,326;-0,647;0,326;-0,572
0,328;-0,643;0,328;-0,575
0,330;-0,629;0,330;-0,568
0,332;-0,631;0,332;-0,572
0,334;-0,614;0,334;-0,572
0,336;-0,625;0,336;-0,568
0,338;-0,627;0,338;-0,575
0,340;-0,623;0,340;-0,572
0,342;-0,625;0,342;-0,573
0,344;-0,631;0,344;-0,573
0,346;-0,647;0,346;-0,573
0,348;-0,650;0,348;-0,563
0,350;-0,654;0,350;-0,566
0,352;-0,652;0,352;-0,575
0,354;-0,659;0,354;-0,579
0,356;-0,659;0,356;-0,575
0,358;-0,648;0,358;-0,579
0,360;-0,638;0,360;-0,575
0,362;-0,634;0,362;-0,572
0,364;-0,631;0,364;-0,575
0,366;-0,632;0,366;-0,577
0,368;-0,632;0,368;-0,570
0,370;-0,636;0,370;-0,572
0,372;-0,631;0,372;-0,573
0,374;-0,631;0,374;-0,568
0,376;-0,634;0,376;-0,575
0,378;-0,640;0,378;-0,577
0,380;-0,645;0,380;-0,575
0,382;-0,648;0,382;-0,577
0,384;-0,654;0,384;-0,572
0,386;-0,661;0,386;-0,572
0,388;-0,656;0,388;-0,572
0,390;-0,657;0,390;-0,575
0,392;-0,652;0,392;-0,566
0,394;-0,643;0,394;-0,568
0,396;-0,641;0,396;-0,568
0,398;-0,629;0,398;-0,570
0,400;-0,622;0,400;-0,570
0,402;-0,620;0,402;-0,570
0,404;-0,618;0,404;-0,572
0,406;-0,623;0,406;-0,570
0,408;-0,623;0,408;-0,581
0,410;-0,632;0,410;-0,586
